神经元覆盖率,K-多节神经元覆盖率,神经元边界覆盖率,强神经元激活覆盖率,top-k神经元覆盖率
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
0.5403225806451613,0.3691129032258065,0.004032258064516129,0.008064516129032258,0.25
